Code: function, ID: 0
Code: p1, ID: 1
Code: int, ID: 0
Code: a, ID: 7
Code: =, ID: 0
Code: 1, ID: 9
Code: int, ID: 0
Code: b, ID: 8
Code: =, ID: 0
Code: 2, ID: 0
Code: int, ID: 0
Code: c, ID: 9
Code: =, ID: 0
Code: 3, ID: 1
Code: if, ID: 0
Code: a, ID: 7
Code: >=, ID: 0
Code: b, ID: 8
Code: &&, ID: 0
Code: a, ID: 7
Code: >=, ID: 0
Code: c, ID: 9
Code: do, ID: 0
Code: p1, ID: 1
Code: <-, ID: 0
Code: a, ID: 7
Code: elseif, ID: 0
Code: b, ID: 8
Code: >=, ID: 0
Code: a, ID: 7
Code: &&, ID: 0
Code: b, ID: 8
Code: >=, ID: 0
Code: c, ID: 9
Code: do, ID: 0
Code: p1, ID: 1
Code: <-, ID: 0
Code: b, ID: 8
Code: elsedo, ID: 0
Code: p1, ID: 1
Code: <-, ID: 0
Code: c, ID: 9
